threshold,precision,recall,f1,contact_rate,expected_value,ev_per_customer,ev_per_customer_se,uplift_vs_do_nothing
0.59,0.7238139971817755,0.48352682773768435,0.5797592174567344,0.17741666666666667,-1430275.0,-119.18958333333333,1.7858189715760735,163225.0
0.6,0.7329132331555986,0.4744273611546909,0.576,0.17191666666666666,-1432050.0,-119.3375,1.7909760767306335,161450.0
0.61,0.7368946580129805,0.46313147160338874,0.5687861271676301,0.16691666666666666,-1435350.0,-119.6125,1.7969552696155933,158150.0
0.62,0.7407216494845361,0.4508942579228114,0.5605617320070216,0.16166666666666665,-1439025.0,-119.91875,1.8033698615669294,154475.0
0.63,0.7450455275843599,0.4364606212739253,0.5504550850811238,0.15558333333333332,-1443425.0,-120.28541666666666,1.8108771446615952,150075.0
0.64,0.7509684560044272,0.42579228114213996,0.5434521425710853,0.15058333333333335,-1446375.0,-120.53125,1.8165124836950821,147125.0
0.65,0.7561114269471291,0.41732036397866334,0.537808329963607,0.14658333333333334,-1448700.0,-120.725,1.820979654881393,144800.0
0.66,0.7635933806146572,0.40539692500784436,0.5296167247386759,0.141,-1452000.0,-121.0,1.8272352473215066,141500.0
0.67,0.7695625385089341,0.39190461248823344,0.5193347193347193,0.13525,-1456075.0,-121.33958333333334,1.8341597775559548,137425.0
0.68,0.7769181173436492,0.3780985252588641,0.5086534402701561,0.12925,-1460175.0,-121.68125,1.8412384262451316,133325.0
0.69,0.7830758898589657,0.3658613115782868,0.49871685201026517,0.12408333333333334,-1463900.0,-121.99166666666666,1.8474524616757253,129600.0
0.7,0.7937853107344632,0.35268277376843427,0.48837714533999566,0.118,-1467600.0,-122.3,1.8542299203127737,125900.0
0.71,0.799410029498525,0.3401317853780985,0.4772176975566806,0.113,-1471600.0,-122.63333333333334,1.860484225136344,121900.0
0.72,0.80625,0.32381550047066204,0.4620550705171256,0.10666666666666667,-1476900.0,-123.075,1.8685396663233345,116600.0
0.73,0.8149377593360996,0.3081267649827424,0.4471766848816029,0.10041666666666667,-1481900.0,-123.49166666666666,1.8762795527804128,111600.0
0.74,0.8195422535211268,0.2921242547850643,0.4307194078186445,0.09466666666666666,-1487375.0,-123.94791666666667,1.8839968148709103,106125.0
0.75,0.8255159474671669,0.27612174458738625,0.4138255349165295,0.08883333333333333,-1492800.0,-124.4,1.8916916701146704,100700.0
0.76,0.8288557213930349,0.26137433322874176,0.3974236641221374,0.08375,-1497975.0,-124.83125,1.8986833765358262,95525.0
0.77,0.8384371700105596,0.24913711954816442,0.3841315916787615,0.07891666666666666,-1501900.0,-125.15833333333333,1.9045941878107335,91600.0
0.78,0.8424657534246576,0.23156573580169437,0.36327836573960126,0.073,-1508150.0,-125.67916666666666,1.91281700571441,85350.0
0.79,0.8503144654088051,0.212111703796674,0.33952787543947766,0.06625,-1514950.0,-126.24583333333334,1.9219098567600321,78550.0
0.8,0.8665730337078652,0.19359899592092877,0.316491408053347,0.059333333333333335,-1521125.0,-126.76041666666667,1.9306184487839895,72375.0
0.81,0.881619937694704,0.1775964857232507,0.2956385479237399,0.0535,-1526550.0,-127.2125,1.9380735381814378,66950.0
0.82,0.8934280639431617,0.15782867900847192,0.26826666666666665,0.04691666666666667,-1533625.0,-127.80208333333333,1.9470943434750145,59875.0
0.83,0.8953722334004024,0.1396297458424851,0.24158523344191096,0.041416666666666664,-1540475.0,-128.37291666666667,1.9552257810306117,53025.0
0.84,0.8983451536643026,0.11923438970818952,0.21052631578947367,0.03525,-1548150.0,-129.0125,1.9642828048825596,45350.0
0.85,0.9161849710982659,0.09946658299341073,0.17945089159354657,0.028833333333333332,-1555325.0,-129.61041666666668,1.9731021494700216,38175.0
0.86,0.9381818181818182,0.08095387511766551,0.14904679376083188,0.022916666666666665,-1562100.0,-130.175,1.9812918216886233,31400.0
0.87,0.9473684210526315,0.06212739253216191,0.1166077738515901,0.017416666666666667,-1569300.0,-130.775,1.9894575227147282,24200.0
0.88,0.9577464788732394,0.04267336052714151,0.08170621808350856,0.011833333333333333,-1576800.0,-131.4,1.9978223831269075,16700.0
0.89,0.9871794871794872,0.024160652651396296,0.04716692189892802,0.0065,-1583925.0,-131.99375,2.0057395083009633,9575.0
0.9,1.0,0.01004079071226859,0.019881950916433674,0.0026666666666666666,-1589500.0,-132.45833333333334,2.011695046351495,4000.0
0.91,1.0,0.0018826482585503608,0.003758221108675227,0.0005,-1592750.0,-132.72916666666666,2.015113206715308,750.0
0.92,0.0,0.0,0.0,0.0,-1593500.0,-132.79166666666666,2.0159007592367013,0.0
0.93,0.0,0.0,0.0,0.0,-1593500.0,-132.79166666666666,2.0159007592367013,0.0
0.94,0.0,0.0,0.0,0.0,-1593500.0,-132.79166666666666,2.0159007592367013,0.0
0.95,0.0,0.0,0.0,0.0,-1593500.0,-132.79166666666666,2.0159007592367013,0.0
